index	date	category	url	title	body	title_google_translated	body_google_translated_distilbart_summarized
N0	2023-09-01	Politics	https://n.news.naver.com/mnews/article/014/0005065059?sid=100	"[속보]尹 ""10월2일 임시공휴일 지정, 연휴기간 고속도로 통행료 면제"""	"윤석열 대통령은 31일 ""10월2일을 임시공휴일로 지정하고 60만장의 숙박 할인 쿠폰 배포와 함께 연휴 기간 고속도로 통행료를 면제할 것""이라고 밝혔다. 윤 대통령은 이날 서울 용산 청사에서 비상경제민생회의를 주재하고 ""추석 성수품 공급을 역대 최대 규모로 확대하고 농수축산물 수급과 가격 안정을 위해 670억원 규모의 농수축산물 할인 지원을 하겠다""며 이같이 말했다. 아울러 윤 대통령은 ""외국인 관광객 증가가 내수경기 활성화로 이어질 수 있도록 항공편 증편과 입국 절차 간소화를 추진하겠다""며 ""모바일 페이 등 결제 편의를 높이고 한국 관광에 대한 현지 홍보를 강화하겠다""고 설명했다."	"[Breaking news] 尹 ""October 2nd designated as a temporary holiday, expressway toll free during the holiday period"""	" President Yoon Seok-yeol said on the 31st, “We will designate October 2 as a temporary holiday, distribute 600,000 lodging discount coupons, and exempt highway tolls during the holiday season’s holiday season . He said, ""We will expand the supply of Chuseok sacred products to the largest scale ever"""
N1	2023-09-01	Politics	https://n.news.naver.com/mnews/article/079/0003807410?sid=100	"北 ""남반부 전 영토 점령 전군지휘훈련 실시""…김정은 지휘소 방문"	"북한의 조선인민군 총참모부는 30일 B1-B 전략폭격기 등 미국 전략자산을 동원한 한미연합훈련에 대응해 '중요지휘거점과 작전비행장들'의 초토화를 가상한 전술핵타격훈련을 실시했다고 31일 밝혔다. 북한은 ""전술탄도미사일 2발을 발사했으며 목표 섬 상공의 설정고도 400m에서 공중 폭발시켜 핵 타격 임무를 정확히 수행했다""고 주장했는데, 합참은 ""어제 밤 11시40분부터 11시50분까지 북한이 순안 일대에서 동해상으로 발사한 단거리 탄도미사일 2발을 포착했다""고 밝힌 바 있다. 총참모부의 전술핵타격훈련에 하루 앞서 김정은 국무위원장이 29일 총참모부 훈련지휘소를 직접 방문해 북한군의 전군지휘훈련에 대한 보고를 받는 등 훈련실태를 점검한 것으로 나타났다. 북한이 한미연합을지훈련에 대응해 ""남반부 전 영토를 점령하는데 총적목표""를 둔 전군지휘훈련을 실시하는 가운데 김 위원장이 지휘소를 방문해 훈련실태를 점검한 데 이어 '전술핵타격훈련'까지 실시한 것으로 관측된다. 북한이 한미연한훈련에 맞서 전군지휘훈련을 실시하지만 이를 구체적으로 공개하고 선전한 것은 이번이 처음이다. 북한의 노동당 기관지 노동신문은 이날 '조선인민군 총참모부 보도' 형식을 통해 ""30일 미제는 핵전략폭격기 《B-１B》편대를 조선동해와 서해상공에 끌어들여 《대한민국》군사깡패들의 전투기들과 함께 조선민주주의인민공화국을 겨냥한 연합공격편대군훈련을 감행했다""며, ""《을지 프리덤 쉴드》가 최절정에 달하고 있는 시점에 감행된 이번 훈련은 명백히 조선민주주의인민공화국에 대한 핵 선제타격기도에 따른 것으로서 우리에게 심각한 위협으로 된다""고 밝혔다. 총참모부는 ""이에 대처해 조선인민군은 30일 밤 《대한민국》군사깡패들의 중요지휘거점과 작전비행장들을 초토화해버리는 것을 가상한 전술핵타격훈련을 실시했다""며, ""조선인민군 서부지구 전술핵운용부대가 해당 군사 활동을 진행했다""고 밝혔다. 북한의 총참모부는 이번 훈련이 ""전략자산 전개라는 군사적위협행위로 도전해 나선 적들에게 분명한 신호를 보내고 단호한 응징의지와 실질적인 보복능력을 명백히 재인식시키기 위한데 목적이 있다""면서, ""조선인민군은 미군과 《대한민국》군사깡패들의 경거망동을 절대로 좌시하지 않을 것""이라고 위협했다. 이번 훈련에 앞서 김정은 위원장은 원수 계급의 박정천과 강순남 국방상을 대동하고 ""２9일 조선인민군 총참모부 훈련지휘소를 방문해 전군 지휘훈련 진행정형을 료해(파악)했다""고 신문은 보도했다. 김 위원장은 전군지휘훈련을 판정 검열하고 있는 총참모부로부터 ""전쟁발생시 시간별, 단계별정황에 따르는 적군과 아군의 예상 행동기도""에 대한 보고를 받았다. 김정은은 ""원쑤들의 불의적인 무력침공을 격퇴하고 전면적인 반공격으로 이행하여 남반부 전 영토를 점령하는데 총적목표를 둔 연습 참모부의 기도와 그를 관철하기 위한 각급 대연합부대, 연합부대 참모부들의 작전계획전투문건들을 요해""하고 ""유사시 전선 및 전략 예비 포병이용계획과 적후전선형성계획, 해외무력개입파탄계획 등 총참모부의 실제적인 작전계획문건들을 구체적으로 검토""했다고 노동신문은 전했다. 김정은은 이어 ""작전 초기에 적의 전쟁잠재력과 적군의 전쟁지휘 구심점에 심대한 타격을 가하고 지휘통신 수단들을 맹목시켜 초기부터 기를 꺾어놓고 전투행동에 혼란을 주며 적의 전쟁수행의지와 능력을 마비시키는데 최대의 주목을 돌릴 데 대하여 강조""했다. 아울러 ""적들의 중추적인 군사지휘거점들과 군항과 작전비행장 등 중요군사대상물들, 사회정치, 경제적 혼란사태를 연발시킬 수 있는 핵심요소들에 대한 동시다발적인 초강도 타격을 가하며 다양한 타격수단에 의한 부단한 소탕전과 전선공격작전, 적후에서의 배후 교란작전을 복합적으로, 유기적으로 배합 적용하여 전략적 주도권을 확고히 틀어쥘 데 대한 문제""을 강조했다. ""특히 적의 그 어떤 반작용으로부터도 타격수단들을 철저히 보존하기 위한 대책을 철저히 세울 데 대한 문제, 작전지휘체계와 화력지휘통신방식을 전면 갱신할 데 대한 문제 등 앞으로의 작전조직과 지휘, 전쟁준비에서 인민군대가 견지하여야 할 전면적인 과업들과 원칙적요구와 방도들을 구체적으로 밝혔다""고 신문은 보도했다. 김정은은 각종 한미연합훈련에 대해 ""철저히 대응해야 할 필요성을 다시금 강조""하면서, ""조성된 국가안전 환경과 정세의 요구에 맞게 군대의 작전지휘훈련과 실동실전훈련을 더욱 강화하기 위한 일련의 중요지시""를 내리고 ""전쟁준비를 보다 확고히 완비하기 위한 전면적인 과업과 방도들""을 천명했다고 했다. 김정은은 이번 지휘소 방문에서도 한반도 지도를 내려보고, 또 수도권과 충남 계룡대 인근을 아우르는 지역을 가리키며 작전계획을 점검하는 모습을 연출했다. 북한이 한미연한훈련에 대응한 전군지휘훈련과 김정은의 지휘소 방문사실을 구체적으로 공개한 것은 한미에 대한 대응 의지를 애써 과시하고 내부적으로도 북한 인민들의 긴장을 끌어올려 대비태세를 강조한 것으로 풀이된다. jebo@cbs.co.kr @노컷뉴스 https://url.kr/b71afn"	"North Korea ""Occupation of all territories in the southern half, conduct of military command training""... Visit to Kim Jong-un's command post"	" 30-year-old B1-B    -  B-1  buses are more than 400 meters long .   ""B1-2"" is a standard B-1 standard standard for a long-distance bike ride ."
N2	2023-09-01	Politics	https://n.news.naver.com/mnews/article/052/0001929604?sid=100	"추경호 ""새만금 사업 반대 아냐...잼버리와 무관"""	추경호 부총리 겸 기획재정부 장관은 내년도 새만금 사회간접자본, SOC 예산 삭감과 관련해 새만금 사업을 반대하는 것이 아니라고 밝혔습니다. 추 부총리는 오늘(30일) 국회 예산결산특별위원회 종합정책질의에서 더불어민주당 의원들 질의에, 잼버리 사업과 전혀 관련 없이 예산은 예산 편성 원칙에 따라 편성했다고 답했습니다. 이어 내년도 SOC 사업은 모두 원점 재검토 원칙에 따라 사업별 진행 상황과 필수 소요를 반영하고 있고 새만금 사업도 동일한 원칙에 따라서 현재 편성해 진행하고 있다고 설명했습니다. ※ '당신의 제보가 뉴스가 됩니다' YTN 검색해 채널 추가 02-398-8585 social@ytn.co.kr	"Kyung-ho Choo ""I'm not opposed to the Saemangeum project... nothing to do with the Jamboree"""	 Deputy Prime Minister Choo Kyung-ho said he was not opposed to the Saemangeum project in relation to next year's social overhead capital and SOC budget cuts . Next year's SOC projects are all reflecting the progress and essential requirements of each project according to the origin review principle .
N3	2023-09-01	Politics	https://n.news.naver.com/mnews/article/421/0007020611?sid=100	"취임 1년 이재명, 무기한 단식 돌입…""국민항쟁 시작""(종합)"	"(서울=뉴스1) 정재민 박종홍 기자 = 당 대표 취임 1주년을 맞은 이재명 더불어민주당 대표가 31일 ""무능 폭력정권을 향해 국민 항쟁을 시작하겠다""며 ""마지막 수단으로 오늘부터 무기한 단식을 시작한다""고 밝혔다. 이 대표는 이날 국회에서 취임 1주년 기자간담회를 열고 윤석열 정부를 향해 ""대통령은 민생파괴 민주주의 훼손에 대해 국민께 사죄하고 국정방향을 국민 중심으로 바꾸라""며 ""일본 핵 오염수 방류 반대 입장을 천명하고 전면적 국정쇄신과 개각을 단행하라""고 요구했다. 이 대표는 ""민주주의 파괴에 맞서 국민과 함께 민주주의를 지켜내겠다""면서 ""사즉생의 각오로 민주주의 파괴를 막아내겠다""고 강조했다. 검찰 소환조사를 앞두고 있는 것과 관련해선 ""단식한다고 해서 일을 포기하진 않을 것""이라며 ""검찰 수사 역시 전혀 지장받지 않을 것""이라고 말했다. 무기한 단식 종료 조건에 대해선 ""단식은 조건을 붙이는 것이 아니다""며 ""국민의 절망감에 깊은 책임감을 느끼고 반성하면서 그 고통과 아픔, 슬픔, 좌절에 함께 하겠다는 뜻""이라고 말했다. 이 대표는 이날 오후 1시부터 국회 본관 현관 앞에서 무기한 단식에 돌입한다. 그는 자신을 둘러싼 각종 사법리스크에 대해선 '검찰 스토킹'이라고 규정하며 ""만약 제가 정말 범죄를 저지르고 사적 이익을 취했다면 지금까지 살아 남았겠느냐""며 자신감을 내비쳤다. 이 대표는 ""지금까지 윤석열 정권 들어 2년 가까이 400번 넘는 압수수색을 통해 그야말로 먼지털 듯 털고 있지만 단 하나의 부정 증거도 없다""고 했다. 아울러 ""만약 제가 정말 범죄를 저지르고 사적 이익을 취했다면 지금까지 살아았겠는가""라며 ""상대가 우리 약점인 내부분열을 획책하고 국가권력을 악용해서 하지 않아도 될 일을 하게 하는 건 폭력""이라고 말했다. 그러면서 ""이럴 때일수록 더 의지를 굳건히 하고 반드시 싸워서 이긴다는 투지로 끝내 싸워서 이길 것""이라고 강조했다. 아울러 자신을 둘러싼 국회 체포동의안 제출 가능성을 두고는 ""이게 구속할 사유에 해당한다고 보는가""라고 되물었다. 이 대표는 ""대한민국이 사회주의 국가인가""라며 ""이재명이 하는 일에 대해서만 검찰은 공산주의자가 되고 있다. 이재명만 예외""라고 강변했다. 이 대표는 윤석열 정부에 대한 비판을 이어갔다. 그는 ""국민의 생명과 안전을 지키고 민생을 지켜야할 정권이 안전을 걱정하는 국민의 목소리를 괴담이라 매도하며 겁박하고, 국민과 싸우겠다고 선전포고한다""며 ""2023년 민주공화국의 헌정질서가 파괴되고 있다""고 했다. 이어 ""정권은 국민의 안전과 재산을 위협하고 해양주권을 침해하는 일본의 핵폐수 투기테러에도 저항은커녕 맞장구치며 공범이 되었다""며 ""먹고사는 것도 어려운데 이념전쟁으로 국민 갈라치기를 시작했다. 독립전쟁영웅 홍범도 장군을 공산당으로 매도하며 흉상 철거를 공언했다""고 덧붙였다. 그러면서 ""서울-양평고속도로 종점이 느닷없이 대통령처가 땅쪽으로 바뀌고 의혹이 제기되자 수조원대 국책사업을 느닷없이 백지화한다""며 ""권력사유화와 국정농단으로 나라가 무너진다""고 비판했다. 이 대표는 내년 총선 전략을 묻는 말엔 ""국회 과반수를 차지한 민주당이 (윤 정권을) 막기에 퇴행하지 못하고 있는 것""이라며 ""이 퇴행을 막고 국민의 삶을 지키기 위해 반드시 한 석이라도 이겨야 한다. 가용 자원을 총동원하고 총력을 다해야 한다""고 말했다. 그는 자신을 둘러싼 당내 퇴진 여론, 계파 간 갈등에 대해선 ""현 지도 체제에 불만을 가진 경우가 어떻게 없겠는가""라며 ""북한에서도 김정은이 물러났으면 하는 사람이 없겠는가""라고 했다."	"Lee Jae-myeong, indefinite fasting for one year in office... ""Start of National Struggle"" (Comprehensive)"	" Representative Lee Jae-myung, the representative of the Democratic Party of Korea, said, “I will start a national struggle against the incompetent and violent regime"" Representative Lee will begin an indefinite fast in front of the main entrance of the National Assembly from 1:00 pm on this day . He defined various judicial risks surrounding him as 'prosecutor stalking' and expressed his confidence ."
N4	2023-09-01	Politics	https://n.news.naver.com/mnews/article/052/0001930162?sid=100	'항명' 혐의 前 해병대 수사단장, 오늘 구속영장 심사	항명 혐의를 받는 박정훈 전 해병대 수사단장이 구속 갈림길에 섭니다. 박 전 단장 측과 군 당국에 따르면 오늘(1일) 오전 박 전 단장에 대한 구속 전 피의자 심문이 서울 용산구 군사법원에서 열릴 예정입니다. 박 전 단장은 해병 순직 사건을 민간 경찰에 넘기는 과정에서 이첩 보류 지시를 어겼다는 혐의를 받고 있습니다. 앞서 국방부 검찰단은 그제(30일) 박 전 단장이 계속 수사를 거부하고 있는 상황에서 사안의 중대성과 증거인멸 우려가 있다며 구속영장을 청구했습니다. ※ '당신의 제보가 뉴스가 됩니다' YTN 검색해 채널 추가 02-398-8585 social@ytn.co.kr	Ex-Marine Corps chief of investigation charged with 'rebellion', today's arrest warrant review	 Former Marine Corps investigation chief Park Jung-hoon, who is suspected of mutiny, is at a crossroads in his arrest . An interrogation of the suspect before arrest for former director Park will be held at the Military Court in Yongsan-gu, Seoul on the morning of the 1st .
N5	2023-09-01	Politics	https://n.news.naver.com/mnews/article/052/0001929696?sid=100	 北, 탄도미사일 발사…한미 연합훈련 반발[YTN 실시간뉴스]	■ 북한이 어젯밤 동해 상으로 단거리 탄도 미사일 2발을 발사했습니다. 한미 연합훈련의 일환으로 일명 죽음의 백조, B-1B가 서해 상에 전개된 데 반발하는 것으로 풀이됩니다. ■ 북한 김정은 국무위원장과 푸틴 러시아 대통령이 서한을 교환하는 등 북러 간 무기 거래 협상이 활발히 진행되고 있다고 미 백악관이 밝혔습니다. 이에 대해 유엔 주재 한미일 3국 대사들은 유엔 안보리 결의에 위배된다며 협상을 중단할 것을 촉구했습니다. ■ 윤석열 대통령이 오늘 비상경제 민생회의를 주재하고 민생 물가 안정 방안을 논의합니다. 명절 성수품 물가 안정 대책과, 유류세 인하 등 민생부담 경감 계획 등을 점검할 예정입니다. ■ 오늘부터 코로나19 감염병 등급이 '독감'과 같은 4급으로 하향 전환됩니다. 병원에서 코로나19 검사를 받을 경우 신속항원 검사와 유전자증폭 검사 모두 돈을 내야 하고, 입원치료비의 경우 중증 환자만 지원받을 수 있습니다. ■ 시속 200km가 넘는 강풍을 동반했던 허리케인 '이달리아'가 미국 플로리다에 상륙해 홍수와 정전 등 피해가 속출하고 있습니다. 해안가 주민에 대피 명령이 내려진 가운데 플로리다주는 비상사태를 선포했습니다. ■ 오늘 중부 지방은 맑은 날씨를 회복하겠고 영남과 제주도를 중심으로는 비가 이어집니다. 주말인 내일은 남부 지방에, 휴일에는 다시 전국에 비 소식이 있습니다.	North Korea launches ballistic missile... Opposition to the ROK-US joint training [YTN real-time news]	 North Korea fired two short-range ballistic missiles into the East Sea last night . It is interpreted as a reaction against the deployment of the so-called swans of death, B-1B, in the West Sea as part of the ROK-US joint training . President Yoon Seok-yeol presides over an emergency economy and public livelihood meeting .
N6	2023-09-01	Politics	https://n.news.naver.com/mnews/article/214/0001296918?sid=100	"한동훈, 이재명 단식에 ""개인 토착 비리 형사 사건‥단식해도 그대로 진행"""	"한동훈 법무부 장관은 더불어민주당 이재명 대표의 단식 선언을 두고 ""개인 비리 수사에 단식으로 맞서는 것인가. 워낙 맥락 없는 일이라 국민들께서 공감하실지 모르겠다""고 말했습니다. 한 장관은 오늘 예산결산특별위원회 전체회의에 출석하기 위해 찾은 국회에서 취재진에게 ""'마음에 안 든다고 단식해선 안 된다'고 이 대표 본인이 말씀했다""고 했습니다. 이 대표 수사에 대해선 ""개인 토착 비리 형사 사건 수사""라며 ""절차에 따라 진행될 것이고, 조사받는 사람이 어떻게 생각하는지는 중요한 것 같지 않다""고 밝혔습니다. '이 대표 단식으로 수사에 차질이 생길 수 있느냐'는 질문에는 ""그렇게 따진다면 절도죄, 사기죄를 짓거나 소환을 받았을 때 단식하면 수사가 없어지겠느냐""며 ""형사 사건은 그대로 진행되는 것""이라고 말했습니다. '검찰이 출석을 통보한 다음 달 4일 이 대표가 민주당 최고위원회의에 참석해 또 불출석할 수 있다'는 질의에 대해서는 ""여기 있는 우리 모두 다 생업이 있고 일정이 있다""고 답변했습니다. 한 장관은 ""그렇지만 국민들은 일정한 기간을 정해 소환 통보를 하고 거기에 대해 본인이 할 말이 있으면 수사기관에 출석해 충분히 입장을 밝힌다. 그게 시스템""이라고 덧붙였습니다."	"Han Dong-hoon, Lee Jae-myung on a fast ""individual native corruption detective case. Even if you fast, proceed as it is"""	" Justice Minister Han Dong-hoon said, ""Are you fasting against the investigation of personal corruption? I don't know if the people will sympathize because it's so contextless"" Minister Han told reporters at the National Assembly today to attend the general meeting of the Special Committee on Budget and Accounts ."
N7	2023-09-01	Politics	https://n.news.naver.com/mnews/article/586/0000063734?sid=100	"윤재옥, 김남국 제명안 부결에 ""예견된 일…또 방탄정당 면모 과시"""	"윤재옥 국민의힘 원내대표가 거액의 가상자산(코인) 보유 및 거래 논란으로 더불어민주당을 탈당한 김남국 의원의 제명안이 부결된 데 대해 ""예견된 일이었다""며 ""민주당은 또다시 방탄 정당의 면모를 유감없이 과시했다""고 비판했다. 윤 원내대표는 31일 오전 전남 순천만정원에서 열린 현장최고위원회에서 ""김남국 의원 제명안이 전날 국회 윤리특위 소위 투표에서 3대3으로 부결됐다. 소위가 여·야 동수로 구성돼 있어서 민주당 위원 전원이 반대표를 던진 것""이라며 이같이 말했다. 그는 ""김남국 의원의 민주당 탈당 때부터 예견됐던 것""이라며 ""민주당은 김 의원의 차기 총선 불출마 선언을 고려해야 한다고 했지만, 이게 김남국 의원 행위에 대한 면죄부가 될 수는 없다""고 지적했다. 윤 원내대표는 국민의힘은 물론 정의당과 민주당 일각에서조차 김 의원의 제명에 동의했으며, 그것이 윤리자문위 권고까지 이어진 이유라고 설명했다. 그러면서 ""(김 의원 제명안 부결은) 국민에 대한 배신이라고 밖에 볼 수 없다""며, 윤리위 표결 직전 김 의원이 돌연 내년 총선에 불출마하겠다고 선언한 것을 두고 ""제명을 피하기 위한 꼼수였고, 민주당과 김 의원 막후 공모의 결과라고 밖에 볼 수 없다""고 지적했다. 또 ""민주당은 김남국의 무의미한 불출마 선언을 국민 신뢰와 바꾼 것""이라며 ""민심을 두려워하지 않는 정당을 기다리는 것은 민심의 준엄한 심판""이라고 쏘아붙였다. 윤 원내대표는 일본의 원전 오염수 방류와 관련해 ""(민주당의) 일본 후쿠시마 원자력발전소 처리수 방류 반대는 빌미에 불과하고, 본심은 총선을 앞두고 정권심판론에 불을 붙이는 데 있다""고 비난했다. 이어 ""전남에 와서 수산업 걱정된다며 실제로는 처리수에 대한 공포를 조장하는 대규모 집회를 열었다""며 ""어제 민주당은 규탄대회를 열고 국민들께 '정권 심판을 위해 대정부 항쟁에 나서라'고 대놓고 부추기기도 했다""고 꼬집었다. 그는 ""정부 여당은 수산업 종사자들이 안심할 때까지 수산물 소비 진작을 위해 최대한 범정부적 차원에서 노력할 것""이라며 ""가짜뉴스로 인한 피해 보상을 적극적으로 하겠다""고 약속했다. 이어 민주당을 향해 ""이제는 혼자만의 전쟁에서 빠져나와 수산업을 지키려는 국민과 정부 노력에 동참해야 한다""고 촉구했다."	"Yoon Jae-ok, in the rejection of Kim Nam-guk's expulsion, ""It was predicted... Another bulletproof party show off"""	" Rep. Kim Nam-guk, who left the Democratic Party due to controversy over holding and trading a large amount of virtual assets (coins) People's Power floor leader Jae-ok Yoon said, “It was predicted,” and “The Democratic Party again regrets the appearance of a bulletproof party,"" he said ."
N8	2023-09-01	Politics	https://n.news.naver.com/mnews/article/052/0001929984?sid=100	"여권 방심위원들, ""정민영 위원 이해충돌 신속히 조사해야"""	방송통신심의위원회 여권 성향 위원들이 야권 성향 정민영 위원의 이해충돌 여부에 대해 국민권익위원회가 신속히 조사해 결론을 내려달라고 촉구했습니다. 황성욱 방심위원장 직무대행 등 여권 성향 방심위원 4명은 공개 간담회를 열고 언론 보도로 알려진 정민영 위원의 이해충돌 의혹은 방심위의 존립 근거와 관련된 심각한 사안이므로 권익위가 신속히 결론을 내려줘야 한다고 밝혔습니다. 변호사인 정민영 위원은 최근 언론 보도를 통해 윤석열 대통령의 비속어 발언 논란과 손석희 전 JTBC 대표의 동승자 의혹 논란 보도 등과 관련한 소송에서 MBC 측을 대리한 점이 알려져 시민단체에 의해 권익위에 고발을 당했습니다. 방심위 사무처는 이와 관련해 정 위원에게 사실 확인을 위한 전체회의 출석을 요청했지만, 출석이 힘들다는 답변을 받았다고 답했습니다. 방송통신심의위는 방송과 통신 분야 내용 심의를 담당하는 기구로 위원 9명 중 1명이 결원이며 여야 4대4 구도로 이뤄져 있습니다. ※ '당신의 제보가 뉴스가 됩니다' YTN 검색해 채널 추가 02-398-8585 social@ytn.co.kr	"Passport vigilance committee members, ""We must quickly investigate the conflict of interest of Commissioner Min-young Jeong"""	 Passport-oriented members of the Korea Communications Standards Commission urged the Anti-Corruption and Civil Rights Commission to quickly investigate and draw conclusions about whether opposition-oriented member Jeong Min-young had a conflict of interest . The ACRC must come to a conclusion quickly, the passport-oriented vigilance committee members said .
N9	2023-09-01	Politics	https://n.news.naver.com/mnews/article/056/0011556911?sid=100	육사, 홍범도 장군 흉상 외부로 이전 결정	육군사관학교가 교내에 있는 홍범도 장군 흉상을 외부로 옮기기로 결정했습니다. 육사는 오늘(31일) 교내 충무관 입구와 내부에 설치된 독립투사 6위의 흉상과 관련해 각계각층의 의견을 고려했다며 이같이 밝혔습니다. 홍범도 장군 흉상은 육사의 정체성과 독립투사로서의 예우를 동시에 고려해 육사 외 독립운동 업적을 잘 드러낼 수 있는 적절한 장소로 이전하기로 했습니다. 또, 홍범도 장군 외에 지청천, 이범석, 김좌진 장군과 이회영 선생, 충무관 내에 있는 박승환 참령의 흉상은 육사 교정 내 적절한 장소로 이전하기로 했습니다. 육사는 구체적인 사항은 육사 내 '기념물 종합계획'이 완료되는 대로 시행할 계획이라고 설명했습니다. 아울러, 육사는 졸업생과 교직원 등의 의견을 듣고, 육사의 설립 목적과 교육목표에 부합되게 육군사관학교장 책임 하에 기념물 재정비 계획을 추진하겠다고 덧붙였습니다. ■ 제보하기 ▷ 전화 : 02-781-1234, 4444 ▷ 이메일 : kbs1234@kbs.co.kr ▷ 카카오톡 : 'KBS제보' 검색, 채널 추가 ▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!	Decided to relocate the bust of General Hong Beom-do to the outside	 The Korea Military Academy has decided to move the bust of General Hong Beom-do outside the campus . It was decided to relocate the bust to an appropriate place where the achievements of the independence movement other than the army could be well displayed . The military explained that the specific details would be implemented as soon as the 'comprehensive monument plan' within the military was completed .
