id	category	title	abstract
N0	1	[377, 413, 4693, 206, 414, 0, 377, 381, 141, 17555, 16765, 169, 56, 13730, 517, 5, 27440, 13132, 274, 1207]	[377, 400, 60952, 0, 179, 117, 1, 32710, 5, 0, 194, 514, 47638, 141, 748, 169, 56, 13730, 517, 5, 17630, 9678, 31579, 2661, 2695, 5, 8, 14879, 2832, 31193, 1207, 1, 517, 798, 0, 4223, 517, 798, 22, 398, 179, 5, 377, 381, 194, 514, 10781, 1, 8316, 42, 0, 2209, 1336, 64, 1, 7573, 2026, 142, 381, 381, 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N1	1	[377, 1890, 4667, 377, 381, 20198, 42, 303, 37886, 47, 1, 4117, 3696, 5, 2880, 42, 2455, 2848, 7199, 381]	[377, 9708, 0, 872, 0, 29259, 32, 15, 640, 10084, 4763, 1087, 22, 377, 377, 0, 381, 381, 224, 56, 2502, 0, 2502, 2502, 26, 56, 12704, 9851, 2769, 22, 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N2	1	[377, 0, 20684, 377, 381, 79, 759, 230, 4431, 64, 1, 0, 352, 238, 2273, 64, 229, 76, 1, 0]	[3687, 2296, 2297, 20684, 0, 179, 398, 66, 230, 4431, 64, 1, 0, 352, 47, 32882, 64, 63, 531, 44, 298, 32486, 176, 8, 0, 1494, 3079, 22, 63, 531, 44, 0, 336, 32, 303, 33952, 1, 928, 8, 11850, 15081, 42, 1612, 352, 103, 64, 1, 24546, 3354, 24064, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N3	1	[377, 4756, 0, 5, 55120, 3837, 26, 281, 531, 47, 3074, 238, 377, 381, 2109, 42, 2118, 3533, 381, 381]	[377, 15028, 4756, 0, 5, 1, 15028, 42, 1, 732, 1580, 42, 4667, 5, 179, 5, 0, 79, 514, 2109, 56, 2118, 3533, 132, 1, 27503, 8, 13658, 14921, 381, 381, 15028, 4756, 514, 960, 67, 55120, 1033, 47, 61, 42, 1, 3882, 11159, 42, 1, 2118, 6462, 37, 32670, 2293, 117, 133, 174, 22, 398, 23953, 5063, 19613, 6362, 2856, 65, 169, 0, 13410, 351, 8, 2266, 807, 8369, 22, 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N4	1	[54967, 11150, 4695, 42, 3157, 2596, 76, 0, 351, 5, 594, 44, 3307, 10698, 3354, 0, 0, 0, 0, 0]	[2552, 11149, 11150, 3157, 4695, 1105, 0, 5, 332, 224, 4327, 42, 50768, 5, 224, 60, 56, 30687, 47, 807, 3307, 22, 67, 51317, 42, 1, 11819, 236, 3307, 26, 2552, 2369, 1105, 514, 121, 1143, 60, 1, 2455, 680, 47, 0, 5, 14575, 117, 1, 739, 42, 1, 5621, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N5	1	[1890, 4667, 2171, 31087, 23198, 238, 11755, 64, 1, 0, 1120, 7199, 413, 0, 13647, 206, 414, 0, 0, 0]	[1890, 4667, 334, 379, 44216, 31087, 8049, 1069, 1, 1891, 10388, 426, 846, 22, 84, 224, 34098, 169, 56, 8130, 132, 1, 18090, 42, 1, 4790, 54926, 42, 2304, 5, 0, 5, 47, 1, 1565, 10388, 169, 562, 42, 1, 0, 1120, 7199, 22, 400, 60952, 0, 40455, 55, 67, 4024, 4390, 8, 1505, 20572, 1525, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N6	1	[377, 40682, 0, 5, 4756, 0, 117, 56, 1033, 377, 381, 2938, 2210, 4102, 16657, 3986, 22, 444, 460, 34]	[377, 6719, 2297, 40682, 0, 179, 5, 377, 381, 32, 34, 3837, 132, 1, 3157, 42, 1452, 4102, 127, 79, 229, 19, 550, 460, 1, 166, 514, 31282, 586, 84, 44, 143, 0, 381, 381, 2297, 40682, 1832, 4988, 60, 1, 2118, 6462, 594, 64, 6851, 1, 394, 1525, 42, 1, 2052, 3185, 117, 1494, 8, 619, 22, 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N7	1	[377, 60952, 0, 5, 47, 1, 3671, 42, 8930, 0, 44, 26201, 5, 377, 381, 84, 66, 7229, 238, 662]	[377, 2481, 8930, 0, 5, 332, 2189, 1, 732, 1580, 5497, 64, 13014, 55, 33, 8, 4904, 56, 1242, 5238, 42, 19030, 10979, 520, 17817, 522, 166, 44, 727, 3372, 3195, 0, 60952, 179, 5, 0, 84, 66, 7229, 5, 0, 8, 0, 1, 732, 1580, 779, 4427, 1, 7720, 42, 56, 8494, 1580, 5, 381, 381, 398, 179, 22, 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N8	1	[377, 9053, 45685, 3185, 2205, 5, 377, 381, 194, 599, 4650, 2676, 1, 7740, 42, 2893, 42, 6447, 0, 57999]	[0, 2205, 42, 1, 4667, 9257, 2500, 3735, 8932, 1, 20040, 8, 6858, 7023, 3735, 64, 4650, 2676, 8, 4663, 5564, 502, 454, 0, 2395, 57999, 0, 404, 56, 7740, 42, 2893, 22, 1, 0, 599, 2333, 64, 56, 14521, 4650, 5, 1, 0, 45685, 3185, 2205, 179, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
N9	1	[3029, 64, 19796, 1, 19222, 42, 394, 4592, 0, 64, 1, 1841, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 4667, 2455, 6381, 257, 3029, 64, 2101, 1, 19222, 42, 394, 4592, 0, 1841, 1, 11187, 22, 84, 66, 3029, 64, 19796, 1, 19222, 64, 67, 6116, 1113, 840, 1, 15588, 42, 1, 13725, 9818, 704, 640, 1, 2858, 280, 121, 1332, 12866, 22, 1, 2455, 3353, 16, 1, 4319, 880, 842, 121, 23964, 169, 291, 169, 1, 0, 2992, 1197, 351, 1124, 1, 2455, 66, 360, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
